opera_version_25,0
opera_version_26,0
opera_version_27,0
opera_version_28,0
opera_version_29,0
opera_version_30,0
opera_version_31,0
opera_version_32,0
opera_version_33,0
opera_version_34,0
opera_version_35,0
opera_version_36,0
opera_version_37,0
opera_version_38,0
opera_version_39,0
opera_version_40,0
opera_version_41,0
opera_version_42,0
opera_version_43,0
opera_version_44,0
opera_version_45,0
opera_version_46,0
opera_version_47,0
opera_version_48,0
opera_version_49,0
opera_version_50,0
opera_version_51,0
trans_code1_0,0
trans_code2_1,0
trans_code2_2,0
trans_acc_id3_0,0
trans_acc_id3_2,0
trans_market_type_2,0
trans_channel_2,0
trans_channel_3,0
trans_trans_type1_3,0
trans_trans_type1_5,0
trans_trans_type1_6,0
trans_trans_type1_8,0
trans_trans_type1_9,0
trans_trans_type1_10,0
trans_trans_type1_11,0
trans_trans_type1_12,0
trans_trans_type1_13,0
trans_trans_type1_14,0
trans_trans_type1_15,0
trans_amt_src1_5,0
trans_amt_src1_10,0
trans_amt_src1_11,0
trans_amt_src1_12,0
trans_amt_src1_13,0
trans_amt_src1_14,0
trans_amt_src1_15,0
trans_amt_src1_16,0
trans_amt_src1_17,0
trans_amt_src1_18,0
trans_amt_src1_19,0
trans_amt_src1_20,0
trans_amt_src1_21,0
trans_amt_src1_22,0
trans_amt_src1_23,0
trans_amt_src1_24,0
trans_amt_src1_25,0
trans_amt_src1_26,0
trans_bal_0,0
trans_bal_1,0
trans_bal_2,0
